final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
0,0.61,0.57,15.4,16.0,3.9,2.6,11.0,118.5,0.526,96.8,0.487,0.712,0.478,0.466,0.392,0.395
9,0.61,0.57,15.4,16.0,3.9,2.6,11.0,118.5,0.526,96.8,0.466,0.716,0.507,0.42,0.404,0.359
4,0.61,0.57,15.4,16.0,3.9,2.6,11.0,118.5,0.526,96.8,0.491,0.732,0.489,0.458,0.406,0.351
2,0.61,0.57,15.4,16.0,3.9,2.6,11.0,118.5,0.526,96.8,0.474,0.724,0.444,0.433,0.431,0.376
12,0.61,0.57,15.4,16.0,3.9,2.6,11.0,118.5,0.526,96.8,0.487,0.712,0.478,0.466,0.392,0.395
5,0.61,0.57,15.4,16.0,3.9,2.6,11.0,118.5,0.526,96.8,0.474,0.724,0.444,0.433,0.431,0.376
10,0.61,0.57,15.4,16.0,3.9,2.6,11.0,118.5,0.526,96.8,0.487,0.685,0.467,0.441,0.423,0.373
4,0.61,0.57,15.4,16.0,3.9,2.6,11.0,118.5,0.526,96.8,0.487,0.685,0.467,0.441,0.423,0.373
8,0.61,0.57,15.4,16.0,3.9,2.6,11.0,118.5,0.526,96.8,0.496,0.688,0.482,0.495,0.411,0.365
2,0.61,0.57,15.4,16.0,3.9,2.6,11.0,118.5,0.526,96.8,0.453,0.676,0.438,0.469,0.407,0.352
4,0.61,0.57,15.4,16.0,3.9,2.6,11.0,118.5,0.526,96.8,0.473,0.682,0.45,0.425,0.431,0.37
4,0.61,0.57,15.4,16.0,3.9,2.6,11.0,118.5,0.526,96.8,0.47,0.66,0.442,0.432,0.42,0.365
6,0.61,0.57,15.4,16.0,3.9,2.6,11.0,118.5,0.526,96.8,0.475,0.736,0.421,0.46,0.381,0.368
8,0.61,0.57,15.4,16.0,3.9,2.6,11.0,118.5,0.526,96.8,0.475,0.736,0.421,0.46,0.381,0.368
1,0.61,0.57,15.4,16.0,3.9,2.6,11.0,118.5,0.526,96.8,0.49,0.716,0.477,0.453,0.481,0.37
8,0.61,0.57,15.4,16.0,3.9,2.6,11.0,118.5,0.526,96.8,0.463,0.682,0.478,0.464,0.401,0.348
8,0.61,0.57,15.4,16.0,3.9,2.6,11.0,118.5,0.526,96.8,0.463,0.682,0.478,0.464,0.401,0.348
1,0.61,0.57,15.4,16.0,3.9,2.6,11.0,118.5,0.526,96.8,0.495,0.694,0.46,0.452,0.43,0.384
5,0.61,0.57,15.4,16.0,3.9,2.6,11.0,118.5,0.526,96.8,0.464,0.714,0.454,0.422,0.397,0.349
5,0.61,0.57,15.4,16.0,3.9,2.6,11.0,118.5,0.526,96.8,0.491,0.732,0.489,0.458,0.406,0.351
2,0.61,0.57,15.4,16.0,3.9,2.6,11.0,118.5,0.526,96.8,0.487,0.712,0.478,0.466,0.392,0.395
4,0.61,0.57,15.4,16.0,3.9,2.6,11.0,118.5,0.526,96.8,0.496,0.753,0.452,0.464,0.454,0.362
4,0.61,0.57,15.4,16.0,3.9,2.6,11.0,118.5,0.526,96.8,0.474,0.724,0.444,0.433,0.431,0.376
1,0.61,0.57,15.4,16.0,3.9,2.6,11.0,118.5,0.526,96.8,0.473,0.682,0.45,0.425,0.431,0.37
4,0.61,0.57,15.4,16.0,3.9,2.6,11.0,118.5,0.526,96.8,0.48,0.699,0.485,0.43,0.368,0.387
1,0.61,0.57,15.4,16.0,3.9,2.6,11.0,118.5,0.526,96.8,0.48,0.699,0.485,0.43,0.368,0.387
6,0.61,0.57,15.4,16.0,3.9,2.6,11.0,118.5,0.526,96.8,0.467,0.705,0.493,0.463,0.407,0.353
2,0.61,0.57,15.4,16.0,3.9,2.6,11.0,118.5,0.526,96.8,0.463,0.66,0.426,0.425,0.38,0.371
8,0.61,0.57,15.4,16.0,3.9,2.6,11.0,118.5,0.526,96.8,0.468,0.707,0.449,0.436,0.407,0.363
2,0.61,0.57,15.4,16.0,3.9,2.6,11.0,118.5,0.526,96.8,0.474,0.701,0.464,0.472,0.394,0.358
10,0.61,0.57,15.4,16.0,3.9,2.6,11.0,118.5,0.526,96.8,0.496,0.688,0.482,0.495,0.411,0.365
2,0.61,0.57,15.4,16.0,3.9,2.6,11.0,118.5,0.526,96.8,0.47,0.712,0.435,0.484,0.391,0.356
6,0.61,0.57,15.4,16.0,3.9,2.6,11.0,118.5,0.526,96.8,0.45,0.673,0.404,0.447,0.371,0.354
9,0.61,0.57,15.4,16.0,3.9,2.6,11.0,118.5,0.526,96.8,0.473,0.682,0.45,0.425,0.431,0.37
2,0.61,0.57,15.4,16.0,3.9,2.6,11.0,118.5,0.526,96.8,0.474,0.667,0.418,0.456,0.425,0.378
5,0.61,0.57,15.4,16.0,3.9,2.6,11.0,118.5,0.526,96.8,0.464,0.686,0.421,0.428,0.381,0.364
7,0.61,0.57,15.4,16.0,3.9,2.6,11.0,118.5,0.526,96.8,0.463,0.682,0.478,0.464,0.401,0.348
12,0.61,0.57,15.4,16.0,3.9,2.6,11.0,118.5,0.526,96.8,0.464,0.686,0.421,0.428,0.381,0.364
6,0.61,0.57,15.4,16.0,3.9,2.6,11.0,118.5,0.526,96.8,0.48,0.699,0.485,0.43,0.368,0.387
