final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
12,0.576,0.381,24.9,19.8,19.3,14.3,34.0,114.0,0.543,96.2,0.473,0.682,0.45,0.425,0.431,0.37
19,0.576,0.381,24.9,19.8,19.3,14.3,34.0,114.0,0.543,96.2,0.453,0.676,0.438,0.469,0.407,0.352
10,0.576,0.381,24.9,19.8,19.3,14.3,34.0,114.0,0.543,96.2,0.491,0.716,0.471,0.42,0.422,0.376
14,0.576,0.381,24.9,19.8,19.3,14.3,34.0,114.0,0.543,96.2,0.491,0.716,0.471,0.42,0.422,0.376
18,0.576,0.381,24.9,19.8,19.3,14.3,34.0,114.0,0.543,96.2,0.491,0.732,0.489,0.458,0.406,0.351
26,0.576,0.381,24.9,19.8,19.3,14.3,34.0,114.0,0.543,96.2,0.466,0.716,0.507,0.42,0.404,0.359
23,0.576,0.381,24.9,19.8,19.3,14.3,34.0,114.0,0.543,96.2,0.48,0.699,0.485,0.43,0.368,0.387
19,0.576,0.381,24.9,19.8,19.3,14.3,34.0,114.0,0.543,96.2,0.466,0.716,0.507,0.42,0.404,0.359
20,0.576,0.381,24.9,19.8,19.3,14.3,34.0,114.0,0.543,96.2,0.48,0.699,0.485,0.43,0.368,0.387
18,0.576,0.381,24.9,19.8,19.3,14.3,34.0,114.0,0.543,96.2,0.496,0.688,0.482,0.495,0.411,0.365
16,0.576,0.381,24.9,19.8,19.3,14.3,34.0,114.0,0.543,96.2,0.491,0.732,0.489,0.458,0.406,0.351
18,0.576,0.381,24.9,19.8,19.3,14.3,34.0,114.0,0.543,96.2,0.473,0.682,0.45,0.425,0.431,0.37
24,0.576,0.381,24.9,19.8,19.3,14.3,34.0,114.0,0.543,96.2,0.473,0.682,0.45,0.425,0.431,0.37
30,0.576,0.381,24.9,19.8,19.3,14.3,34.0,114.0,0.543,96.2,0.464,0.686,0.421,0.428,0.381,0.364
21,0.576,0.381,24.9,19.8,19.3,14.3,34.0,114.0,0.543,96.2,0.463,0.66,0.426,0.425,0.38,0.371
17,0.576,0.381,24.9,19.8,19.3,14.3,34.0,114.0,0.543,96.2,0.45,0.673,0.404,0.447,0.371,0.354
15,0.576,0.381,24.9,19.8,19.3,14.3,34.0,114.0,0.543,96.2,0.496,0.753,0.452,0.464,0.454,0.362
38,0.576,0.381,24.9,19.8,19.3,14.3,34.0,114.0,0.543,96.2,0.496,0.753,0.452,0.464,0.454,0.362
32,0.576,0.381,24.9,19.8,19.3,14.3,34.0,114.0,0.543,96.2,0.495,0.694,0.46,0.452,0.43,0.384
23,0.576,0.381,24.9,19.8,19.3,14.3,34.0,114.0,0.543,96.2,0.453,0.676,0.438,0.469,0.407,0.352
28,0.576,0.381,24.9,19.8,19.3,14.3,34.0,114.0,0.543,96.2,0.453,0.676,0.438,0.469,0.407,0.352
15,0.576,0.381,24.9,19.8,19.3,14.3,34.0,114.0,0.543,96.2,0.474,0.667,0.418,0.456,0.425,0.378
21,0.576,0.381,24.9,19.8,19.3,14.3,34.0,114.0,0.543,96.2,0.49,0.716,0.477,0.453,0.481,0.37
31,0.576,0.381,24.9,19.8,19.3,14.3,34.0,114.0,0.543,96.2,0.468,0.707,0.449,0.436,0.407,0.363
12,0.576,0.381,24.9,19.8,19.3,14.3,34.0,114.0,0.543,96.2,0.487,0.685,0.467,0.441,0.423,0.373
22,0.576,0.381,24.9,19.8,19.3,14.3,34.0,114.0,0.543,96.2,0.496,0.688,0.482,0.495,0.411,0.365
15,0.576,0.381,24.9,19.8,19.3,14.3,34.0,114.0,0.543,96.2,0.455,0.652,0.437,0.432,0.389,0.361
22,0.576,0.381,24.9,19.8,19.3,14.3,34.0,114.0,0.543,96.2,0.487,0.685,0.467,0.441,0.423,0.373
27,0.576,0.381,24.9,19.8,19.3,14.3,34.0,114.0,0.543,96.2,0.473,0.682,0.45,0.425,0.431,0.37
18,0.576,0.381,24.9,19.8,19.3,14.3,34.0,114.0,0.543,96.2,0.496,0.688,0.482,0.495,0.411,0.365
23,0.576,0.381,24.9,19.8,19.3,14.3,34.0,114.0,0.543,96.2,0.474,0.724,0.444,0.433,0.431,0.376
22,0.576,0.381,24.9,19.8,19.3,14.3,34.0,114.0,0.543,96.2,0.462,0.686,0.416,0.415,0.391,0.355
32,0.576,0.381,24.9,19.8,19.3,14.3,34.0,114.0,0.543,96.2,0.487,0.712,0.478,0.466,0.392,0.395
31,0.576,0.381,24.9,19.8,19.3,14.3,34.0,114.0,0.543,96.2,0.468,0.707,0.449,0.436,0.407,0.363
30,0.576,0.381,24.9,19.8,19.3,14.3,34.0,114.0,0.543,96.2,0.474,0.724,0.444,0.433,0.431,0.376
21,0.576,0.381,24.9,19.8,19.3,14.3,34.0,114.0,0.543,96.2,0.464,0.686,0.421,0.428,0.381,0.364
10,0.576,0.381,24.9,19.8,19.3,14.3,34.0,114.0,0.543,96.2,0.47,0.71,0.398,0.434,0.424,0.372
24,0.576,0.381,24.9,19.8,19.3,14.3,34.0,114.0,0.543,96.2,0.47,0.712,0.435,0.484,0.391,0.356
20,0.576,0.381,24.9,19.8,19.3,14.3,34.0,114.0,0.543,96.2,0.47,0.712,0.435,0.484,0.391,0.356
20,0.576,0.381,24.9,19.8,19.3,14.3,34.0,114.0,0.543,96.2,0.495,0.694,0.46,0.452,0.43,0.384
26,0.576,0.381,24.9,19.8,19.3,14.3,34.0,114.0,0.543,96.2,0.464,0.714,0.454,0.422,0.397,0.349
18,0.576,0.381,24.9,19.8,19.3,14.3,34.0,114.0,0.543,96.2,0.475,0.736,0.421,0.46,0.381,0.368
18,0.576,0.381,24.9,19.8,19.3,14.3,34.0,114.0,0.543,96.2,0.464,0.714,0.454,0.422,0.397,0.349
30,0.576,0.381,24.9,19.8,19.3,14.3,34.0,114.0,0.543,96.2,0.453,0.676,0.438,0.469,0.407,0.352
20,0.576,0.381,24.9,19.8,19.3,14.3,34.0,114.0,0.543,96.2,0.474,0.701,0.464,0.472,0.394,0.358
17,0.576,0.381,24.9,19.8,19.3,14.3,34.0,114.0,0.543,96.2,0.473,0.682,0.45,0.425,0.431,0.37
