final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
0,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.47,0.71,0.398,0.434,0.424,0.372
5,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.468,0.707,0.449,0.436,0.407,0.363
16,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.474,0.724,0.444,0.433,0.431,0.376
6,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.487,0.712,0.478,0.466,0.392,0.395
6,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.496,0.688,0.482,0.495,0.411,0.365
7,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.462,0.686,0.416,0.415,0.391,0.355
5,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.45,0.673,0.404,0.447,0.371,0.354
14,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.45,0.673,0.404,0.447,0.371,0.354
12,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.487,0.685,0.467,0.441,0.423,0.373
10,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.475,0.736,0.421,0.46,0.381,0.368
4,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.463,0.682,0.478,0.464,0.401,0.348
6,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.455,0.652,0.437,0.432,0.389,0.361
8,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.455,0.652,0.437,0.432,0.389,0.361
2,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.462,0.686,0.416,0.415,0.391,0.355
0,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.473,0.682,0.45,0.425,0.431,0.37
7,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.466,0.716,0.507,0.42,0.404,0.359
10,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.49,0.716,0.477,0.453,0.481,0.37
13,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.45,0.673,0.404,0.447,0.371,0.354
4,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.496,0.688,0.482,0.495,0.411,0.365
3,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.491,0.716,0.471,0.42,0.422,0.376
8,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.474,0.701,0.464,0.472,0.394,0.358
2,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.463,0.66,0.426,0.425,0.38,0.371
12,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.475,0.736,0.421,0.46,0.381,0.368
4,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.475,0.736,0.421,0.46,0.381,0.368
13,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.462,0.686,0.416,0.415,0.391,0.355
2,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.468,0.712,0.406,0.411,0.404,0.354
4,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.474,0.724,0.444,0.433,0.431,0.376
19,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.487,0.685,0.467,0.441,0.423,0.373
5,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.487,0.712,0.478,0.466,0.392,0.395
6,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.491,0.716,0.471,0.42,0.422,0.376
10,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.495,0.694,0.46,0.452,0.43,0.384
9,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.474,0.667,0.418,0.456,0.425,0.378
5,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.496,0.753,0.452,0.464,0.454,0.362
7,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.473,0.682,0.45,0.425,0.431,0.37
0,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.47,0.712,0.435,0.484,0.391,0.356
13,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.466,0.716,0.507,0.42,0.404,0.359
13,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.455,0.652,0.437,0.432,0.389,0.361
15,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.474,0.724,0.444,0.433,0.431,0.376
14,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.496,0.753,0.452,0.464,0.454,0.362
9,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.48,0.699,0.485,0.43,0.368,0.387
4,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.463,0.682,0.478,0.464,0.401,0.348
13,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.466,0.716,0.507,0.42,0.404,0.359
2,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.464,0.714,0.454,0.422,0.397,0.349
9,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.495,0.694,0.46,0.452,0.43,0.384
8,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.474,0.701,0.464,0.472,0.394,0.358
6,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.49,0.716,0.477,0.453,0.481,0.37
12,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.453,0.676,0.438,0.469,0.407,0.352
1,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.468,0.712,0.406,0.411,0.404,0.354
14,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.464,0.714,0.454,0.422,0.397,0.349
6,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.47,0.66,0.442,0.432,0.42,0.365
7,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.453,0.676,0.438,0.469,0.407,0.352
10,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.468,0.707,0.449,0.436,0.407,0.363
24,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.487,0.712,0.478,0.466,0.392,0.395
24,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.473,0.682,0.45,0.425,0.431,0.37
29,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.455,0.652,0.437,0.432,0.389,0.361
12,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.464,0.714,0.454,0.422,0.397,0.349
30,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.48,0.699,0.485,0.43,0.368,0.387
27,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.48,0.699,0.485,0.43,0.368,0.387
27,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.45,0.673,0.404,0.447,0.371,0.354
20,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.474,0.667,0.418,0.456,0.425,0.378
26,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.468,0.707,0.449,0.436,0.407,0.363
18,0.524,0.274,22.4,11.4,15.9,13.6,33.1,108.3,0.558,97.2,0.466,0.716,0.507,0.42,0.404,0.359
