final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
4,0.639,0.315,19.3,19.0,5.7,3.9,11.6,118.5,0.526,96.8,0.468,0.707,0.449,0.436,0.407,0.363
8,0.639,0.315,19.3,19.0,5.7,3.9,11.6,118.5,0.526,96.8,0.463,0.682,0.478,0.464,0.401,0.348
2,0.639,0.315,19.3,19.0,5.7,3.9,11.6,118.5,0.526,96.8,0.474,0.667,0.418,0.456,0.425,0.378
4,0.639,0.315,19.3,19.0,5.7,3.9,11.6,118.5,0.526,96.8,0.491,0.716,0.471,0.42,0.422,0.376
10,0.639,0.315,19.3,19.0,5.7,3.9,11.6,118.5,0.526,96.8,0.473,0.682,0.45,0.425,0.431,0.37
4,0.639,0.315,19.3,19.0,5.7,3.9,11.6,118.5,0.526,96.8,0.487,0.685,0.467,0.441,0.423,0.373
0,0.639,0.315,19.3,19.0,5.7,3.9,11.6,118.5,0.526,96.8,0.491,0.716,0.471,0.42,0.422,0.376
3,0.639,0.315,19.3,19.0,5.7,3.9,11.6,118.5,0.526,96.8,0.49,0.716,0.477,0.453,0.481,0.37
4,0.639,0.315,19.3,19.0,5.7,3.9,11.6,118.5,0.526,96.8,0.47,0.66,0.442,0.432,0.42,0.365
4,0.639,0.315,19.3,19.0,5.7,3.9,11.6,118.5,0.526,96.8,0.496,0.753,0.452,0.464,0.454,0.362
2,0.639,0.315,19.3,19.0,5.7,3.9,11.6,118.5,0.526,96.8,0.47,0.712,0.435,0.484,0.391,0.356
4,0.639,0.315,19.3,19.0,5.7,3.9,11.6,118.5,0.526,96.8,0.464,0.714,0.454,0.422,0.397,0.349
12,0.639,0.315,19.3,19.0,5.7,3.9,11.6,118.5,0.526,96.8,0.48,0.699,0.485,0.43,0.368,0.387
