final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
16,0.474,0.147,13.3,4.7,3.4,3.4,13.6,,,,0.474,0.667,0.418,0.456,0.425,0.378
16,0.474,0.147,13.3,4.7,3.6,3.3,13.2,,,,0.474,0.667,0.418,0.456,0.425,0.378
16,0.474,0.147,13.3,4.7,2.6,3.8,16.4,,,,0.474,0.667,0.418,0.456,0.425,0.378
16,0.502,0.155,13.6,5.4,3.4,3.4,13.6,,,,0.474,0.667,0.418,0.456,0.425,0.378
16,0.502,0.155,13.6,5.4,3.6,3.3,13.2,,,,0.474,0.667,0.418,0.456,0.425,0.378
16,0.502,0.155,13.6,5.4,2.6,3.8,16.4,,,,0.474,0.667,0.418,0.456,0.425,0.378
16,0.327,0.105,12.0,1.5,3.4,3.4,13.6,,,,0.474,0.667,0.418,0.456,0.425,0.378
16,0.327,0.105,12.0,1.5,3.6,3.3,13.2,,,,0.474,0.667,0.418,0.456,0.425,0.378
16,0.327,0.105,12.0,1.5,2.6,3.8,16.4,,,,0.474,0.667,0.418,0.456,0.425,0.378
10,0.474,0.147,13.3,4.7,3.4,3.4,13.6,,,,0.496,0.688,0.482,0.495,0.411,0.365
10,0.474,0.147,13.3,4.7,3.6,3.3,13.2,,,,0.496,0.688,0.482,0.495,0.411,0.365
10,0.474,0.147,13.3,4.7,2.6,3.8,16.4,,,,0.496,0.688,0.482,0.495,0.411,0.365
10,0.502,0.155,13.6,5.4,3.4,3.4,13.6,,,,0.496,0.688,0.482,0.495,0.411,0.365
10,0.502,0.155,13.6,5.4,3.6,3.3,13.2,,,,0.496,0.688,0.482,0.495,0.411,0.365
10,0.502,0.155,13.6,5.4,2.6,3.8,16.4,,,,0.496,0.688,0.482,0.495,0.411,0.365
10,0.327,0.105,12.0,1.5,3.4,3.4,13.6,,,,0.496,0.688,0.482,0.495,0.411,0.365
10,0.327,0.105,12.0,1.5,3.6,3.3,13.2,,,,0.496,0.688,0.482,0.495,0.411,0.365
10,0.327,0.105,12.0,1.5,2.6,3.8,16.4,,,,0.496,0.688,0.482,0.495,0.411,0.365
2,0.474,0.147,13.3,4.7,3.4,3.4,13.6,,,,0.496,0.753,0.452,0.464,0.454,0.362
2,0.474,0.147,13.3,4.7,3.6,3.3,13.2,,,,0.496,0.753,0.452,0.464,0.454,0.362
2,0.474,0.147,13.3,4.7,2.6,3.8,16.4,,,,0.496,0.753,0.452,0.464,0.454,0.362
2,0.502,0.155,13.6,5.4,3.4,3.4,13.6,,,,0.496,0.753,0.452,0.464,0.454,0.362
