final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
2,0.567,0.382,27.8,14.7,10.6,8.0,16.6,,,,0.473,0.725,0.424,0.422,0.414,0.348
8,0.567,0.382,27.8,14.7,10.6,8.0,16.6,,,,0.453,0.651,0.421,0.398,0.421,0.355
14,0.567,0.382,27.8,14.7,10.6,8.0,16.6,,,,0.456,0.691,0.415,0.452,0.389,0.354
11,0.567,0.382,27.8,14.7,10.6,8.0,16.6,,,,0.507,0.698,0.48,0.467,0.462,0.391
21,0.567,0.382,27.8,14.7,10.6,8.0,16.6,,,,0.491,0.682,0.453,0.443,0.368,0.379
2,0.567,0.382,27.8,14.7,10.6,8.0,16.6,,,,0.468,0.685,0.434,0.437,0.391,0.357
21,0.567,0.382,27.8,14.7,10.6,8.0,16.6,,,,0.474,0.694,0.452,0.483,0.414,0.358
20,0.567,0.382,27.8,14.7,10.6,8.0,16.6,,,,0.472,0.749,0.468,0.407,0.416,0.339
6,0.567,0.382,27.8,14.7,10.6,8.0,16.6,,,,0.468,0.661,0.42,0.424,0.422,0.368
4,0.567,0.382,27.8,14.7,10.6,8.0,16.6,,,,0.473,0.717,0.459,0.442,0.387,0.366
2,0.567,0.382,27.8,14.7,10.6,8.0,16.6,,,,0.507,0.698,0.48,0.467,0.462,0.391
11,0.567,0.382,27.8,14.7,10.6,8.0,16.6,,,,0.471,0.699,0.408,0.437,0.374,0.369
0,0.567,0.382,27.8,14.7,10.6,8.0,16.6,,,,0.469,0.711,0.451,0.461,0.439,0.344
25,0.567,0.382,27.8,14.7,10.6,8.0,16.6,,,,0.478,0.747,0.459,0.443,0.402,0.344
2,0.567,0.382,27.8,14.7,10.6,8.0,16.6,,,,0.469,0.703,0.504,0.431,0.415,0.364
2,0.567,0.382,27.8,14.7,10.6,8.0,16.6,,,,0.466,0.689,0.433,0.451,0.4,0.357
8,0.567,0.382,27.8,14.7,10.6,8.0,16.6,,,,0.492,0.733,0.475,0.462,0.392,0.373
30,0.567,0.382,27.8,14.7,10.6,8.0,16.6,,,,0.473,0.696,0.462,0.457,0.454,0.361
20,0.567,0.382,27.8,14.7,10.6,8.0,16.6,,,,0.478,0.747,0.459,0.443,0.402,0.344
17,0.567,0.382,27.8,14.7,10.6,8.0,16.6,,,,0.463,0.693,0.468,0.44,0.467,0.345
27,0.567,0.382,27.8,14.7,10.6,8.0,16.6,,,,0.473,0.717,0.459,0.442,0.387,0.366
22,0.567,0.382,27.8,14.7,10.6,8.0,16.6,,,,0.482,0.729,0.502,0.452,0.385,0.367
14,0.567,0.382,27.8,14.7,10.6,8.0,16.6,,,,0.492,0.733,0.475,0.462,0.392,0.373
21,0.567,0.382,27.8,14.7,10.6,8.0,16.6,,,,0.462,0.666,0.417,0.468,0.431,0.357
20,0.567,0.382,27.8,14.7,10.6,8.0,16.6,,,,0.473,0.717,0.459,0.442,0.387,0.366
10,0.567,0.382,27.8,14.7,10.6,8.0,16.6,,,,0.463,0.693,0.468,0.44,0.467,0.345
9,0.567,0.382,27.8,14.7,10.6,8.0,16.6,,,,0.456,0.691,0.415,0.452,0.389,0.354
14,0.567,0.382,27.8,14.7,10.6,8.0,16.6,,,,0.491,0.715,0.454,0.485,0.402,0.374
11,0.567,0.382,27.8,14.7,10.6,8.0,16.6,,,,0.491,0.715,0.454,0.485,0.402,0.374
6,0.567,0.382,27.8,14.7,10.6,8.0,16.6,,,,0.482,0.729,0.502,0.452,0.385,0.367
3,0.567,0.382,27.8,14.7,10.6,8.0,16.6,,,,0.463,0.693,0.468,0.44,0.467,0.345
0,0.567,0.382,27.8,14.7,10.6,8.0,16.6,,,,0.468,0.685,0.434,0.437,0.391,0.357
2,0.567,0.382,27.8,14.7,10.6,8.0,16.6,,,,0.473,0.725,0.424,0.422,0.414,0.348
0,0.567,0.382,27.8,14.7,10.6,8.0,16.6,,,,0.462,0.666,0.417,0.468,0.431,0.357
0,0.567,0.382,27.8,14.7,10.6,8.0,16.6,,,,0.485,0.717,0.46,0.468,0.451,0.352
11,0.567,0.382,27.8,14.7,10.6,8.0,16.6,,,,0.491,0.682,0.453,0.443,0.368,0.379
4,0.567,0.382,27.8,14.7,10.6,8.0,16.6,,,,0.473,0.696,0.462,0.457,0.454,0.361
4,0.567,0.382,27.8,14.7,10.6,8.0,16.6,,,,0.453,0.651,0.421,0.398,0.421,0.355
2,0.567,0.382,27.8,14.7,10.6,8.0,16.6,,,,0.482,0.729,0.502,0.452,0.385,0.367
5,0.567,0.382,27.8,14.7,10.6,8.0,16.6,,,,0.486,0.689,0.445,0.458,0.446,0.356
13,0.567,0.382,27.8,14.7,10.6,8.0,16.6,,,,0.482,0.741,0.48,0.435,0.399,0.374
0,0.567,0.382,27.8,14.7,10.6,8.0,16.6,,,,0.462,0.666,0.417,0.468,0.431,0.357
0,0.567,0.382,27.8,14.7,10.6,8.0,16.6,,,,0.468,0.661,0.42,0.424,0.422,0.368
6,0.567,0.382,27.8,14.7,10.6,8.0,16.6,,,,0.485,0.668,0.473,0.439,0.395,0.373
