final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
0,0.558,0.227,10.4,7.5,3.0,2.8,13.5,116.1,0.54,101.6,0.471,0.699,0.408,0.437,0.374,0.369
0,0.558,0.227,10.4,7.5,2.7,2.2,12.2,116.1,0.54,101.6,0.471,0.699,0.408,0.437,0.374,0.369
0,0.558,0.227,10.4,7.5,3.4,3.5,15.2,116.1,0.54,101.6,0.471,0.699,0.408,0.437,0.374,0.369
0,0.457,0.117,12.2,6.9,3.0,2.8,13.5,116.1,0.54,101.6,0.471,0.699,0.408,0.437,0.374,0.369
0,0.457,0.117,12.2,6.9,2.7,2.2,12.2,116.1,0.54,101.6,0.471,0.699,0.408,0.437,0.374,0.369
0,0.457,0.117,12.2,6.9,3.4,3.5,15.2,116.1,0.54,101.6,0.471,0.699,0.408,0.437,0.374,0.369
6,0.505,0.168,11.3,7.2,3.0,2.8,13.5,116.1,0.54,101.6,0.463,0.679,0.406,0.403,0.385,0.367
6,0.505,0.168,11.3,7.2,2.7,2.2,12.2,116.1,0.54,101.6,0.463,0.679,0.406,0.403,0.385,0.367
6,0.505,0.168,11.3,7.2,3.4,3.5,15.2,116.1,0.54,101.6,0.463,0.679,0.406,0.403,0.385,0.367
6,0.558,0.227,10.4,7.5,3.0,2.8,13.5,116.1,0.54,101.6,0.463,0.679,0.406,0.403,0.385,0.367
6,0.558,0.227,10.4,7.5,2.7,2.2,12.2,116.1,0.54,101.6,0.463,0.679,0.406,0.403,0.385,0.367
6,0.558,0.227,10.4,7.5,3.4,3.5,15.2,116.1,0.54,101.6,0.463,0.679,0.406,0.403,0.385,0.367
6,0.457,0.117,12.2,6.9,3.0,2.8,13.5,116.1,0.54,101.6,0.463,0.679,0.406,0.403,0.385,0.367
6,0.457,0.117,12.2,6.9,2.7,2.2,12.2,116.1,0.54,101.6,0.463,0.679,0.406,0.403,0.385,0.367
6,0.457,0.117,12.2,6.9,3.4,3.5,15.2,116.1,0.54,101.6,0.463,0.679,0.406,0.403,0.385,0.367
10,0.505,0.168,11.3,7.2,3.0,2.8,13.5,116.1,0.54,101.6,0.482,0.741,0.48,0.435,0.399,0.374
10,0.505,0.168,11.3,7.2,2.7,2.2,12.2,116.1,0.54,101.6,0.482,0.741,0.48,0.435,0.399,0.374
10,0.505,0.168,11.3,7.2,3.4,3.5,15.2,116.1,0.54,101.6,0.482,0.741,0.48,0.435,0.399,0.374
10,0.558,0.227,10.4,7.5,3.0,2.8,13.5,116.1,0.54,101.6,0.482,0.741,0.48,0.435,0.399,0.374
10,0.558,0.227,10.4,7.5,2.7,2.2,12.2,116.1,0.54,101.6,0.482,0.741,0.48,0.435,0.399,0.374
10,0.558,0.227,10.4,7.5,3.4,3.5,15.2,116.1,0.54,101.6,0.482,0.741,0.48,0.435,0.399,0.374
10,0.457,0.117,12.2,6.9,3.0,2.8,13.5,116.1,0.54,101.6,0.482,0.741,0.48,0.435,0.399,0.374
10,0.457,0.117,12.2,6.9,2.7,2.2,12.2,116.1,0.54,101.6,0.482,0.741,0.48,0.435,0.399,0.374
10,0.457,0.117,12.2,6.9,3.4,3.5,15.2,116.1,0.54,101.6,0.482,0.741,0.48,0.435,0.399,0.374
6,0.505,0.168,11.3,7.2,3.0,2.8,13.5,116.1,0.54,101.6,0.507,0.698,0.48,0.467,0.462,0.391
6,0.505,0.168,11.3,7.2,2.7,2.2,12.2,116.1,0.54,101.6,0.507,0.698,0.48,0.467,0.462,0.391
6,0.505,0.168,11.3,7.2,3.4,3.5,15.2,116.1,0.54,101.6,0.507,0.698,0.48,0.467,0.462,0.391
6,0.558,0.227,10.4,7.5,3.0,2.8,13.5,116.1,0.54,101.6,0.507,0.698,0.48,0.467,0.462,0.391
6,0.558,0.227,10.4,7.5,2.7,2.2,12.2,116.1,0.54,101.6,0.507,0.698,0.48,0.467,0.462,0.391
6,0.558,0.227,10.4,7.5,3.4,3.5,15.2,116.1,0.54,101.6,0.507,0.698,0.48,0.467,0.462,0.391
6,0.457,0.117,12.2,6.9,3.0,2.8,13.5,116.1,0.54,101.6,0.507,0.698,0.48,0.467,0.462,0.391
6,0.457,0.117,12.2,6.9,2.7,2.2,12.2,116.1,0.54,101.6,0.507,0.698,0.48,0.467,0.462,0.391
6,0.457,0.117,12.2,6.9,3.4,3.5,15.2,116.1,0.54,101.6,0.507,0.698,0.48,0.467,0.462,0.391
8,0.505,0.168,11.3,7.2,3.0,2.8,13.5,116.1,0.54,101.6,0.492,0.733,0.475,0.462,0.392,0.373
8,0.505,0.168,11.3,7.2,2.7,2.2,12.2,116.1,0.54,101.6,0.492,0.733,0.475,0.462,0.392,0.373
8,0.505,0.168,11.3,7.2,3.4,3.5,15.2,116.1,0.54,101.6,0.492,0.733,0.475,0.462,0.392,0.373
8,0.558,0.227,10.4,7.5,3.0,2.8,13.5,116.1,0.54,101.6,0.492,0.733,0.475,0.462,0.392,0.373
8,0.558,0.227,10.4,7.5,2.7,2.2,12.2,116.1,0.54,101.6,0.492,0.733,0.475,0.462,0.392,0.373
8,0.558,0.227,10.4,7.5,3.4,3.5,15.2,116.1,0.54,101.6,0.492,0.733,0.475,0.462,0.392,0.373
8,0.457,0.117,12.2,6.9,3.0,2.8,13.5,116.1,0.54,101.6,0.492,0.733,0.475,0.462,0.392,0.373
8,0.457,0.117,12.2,6.9,2.7,2.2,12.2,116.1,0.54,101.6,0.492,0.733,0.475,0.462,0.392,0.373
8,0.457,0.117,12.2,6.9,3.4,3.5,15.2,116.1,0.54,101.6,0.492,0.733,0.475,0.462,0.392,0.373
0,0.505,0.168,11.3,7.2,3.0,2.8,13.5,116.1,0.54,101.6,0.474,0.694,0.452,0.483,0.414,0.358
0,0.505,0.168,11.3,7.2,2.7,2.2,12.2,116.1,0.54,101.6,0.474,0.694,0.452,0.483,0.414,0.358
0,0.505,0.168,11.3,7.2,3.4,3.5,15.2,116.1,0.54,101.6,0.474,0.694,0.452,0.483,0.414,0.358
0,0.558,0.227,10.4,7.5,3.0,2.8,13.5,116.1,0.54,101.6,0.474,0.694,0.452,0.483,0.414,0.358
0,0.558,0.227,10.4,7.5,2.7,2.2,12.2,116.1,0.54,101.6,0.474,0.694,0.452,0.483,0.414,0.358
0,0.558,0.227,10.4,7.5,3.4,3.5,15.2,116.1,0.54,101.6,0.474,0.694,0.452,0.483,0.414,0.358
0,0.457,0.117,12.2,6.9,3.0,2.8,13.5,116.1,0.54,101.6,0.474,0.694,0.452,0.483,0.414,0.358
0,0.457,0.117,12.2,6.9,2.7,2.2,12.2,116.1,0.54,101.6,0.474,0.694,0.452,0.483,0.414,0.358
0,0.457,0.117,12.2,6.9,3.4,3.5,15.2,116.1,0.54,101.6,0.474,0.694,0.452,0.483,0.414,0.358
11,0.505,0.168,11.3,7.2,3.0,2.8,13.5,116.1,0.54,101.6,0.473,0.696,0.462,0.457,0.454,0.361
11,0.505,0.168,11.3,7.2,2.7,2.2,12.2,116.1,0.54,101.6,0.473,0.696,0.462,0.457,0.454,0.361
11,0.505,0.168,11.3,7.2,3.4,3.5,15.2,116.1,0.54,101.6,0.473,0.696,0.462,0.457,0.454,0.361
11,0.558,0.227,10.4,7.5,3.0,2.8,13.5,116.1,0.54,101.6,0.473,0.696,0.462,0.457,0.454,0.361
11,0.558,0.227,10.4,7.5,2.7,2.2,12.2,116.1,0.54,101.6,0.473,0.696,0.462,0.457,0.454,0.361
11,0.558,0.227,10.4,7.5,3.4,3.5,15.2,116.1,0.54,101.6,0.473,0.696,0.462,0.457,0.454,0.361
11,0.457,0.117,12.2,6.9,3.0,2.8,13.5,116.1,0.54,101.6,0.473,0.696,0.462,0.457,0.454,0.361
11,0.457,0.117,12.2,6.9,2.7,2.2,12.2,116.1,0.54,101.6,0.473,0.696,0.462,0.457,0.454,0.361
11,0.457,0.117,12.2,6.9,3.4,3.5,15.2,116.1,0.54,101.6,0.473,0.696,0.462,0.457,0.454,0.361
2,0.505,0.168,11.3,7.2,3.0,2.8,13.5,116.1,0.54,101.6,0.462,0.666,0.417,0.468,0.431,0.357
2,0.505,0.168,11.3,7.2,2.7,2.2,12.2,116.1,0.54,101.6,0.462,0.666,0.417,0.468,0.431,0.357
2,0.505,0.168,11.3,7.2,3.4,3.5,15.2,116.1,0.54,101.6,0.462,0.666,0.417,0.468,0.431,0.357
2,0.558,0.227,10.4,7.5,3.0,2.8,13.5,116.1,0.54,101.6,0.462,0.666,0.417,0.468,0.431,0.357
2,0.558,0.227,10.4,7.5,2.7,2.2,12.2,116.1,0.54,101.6,0.462,0.666,0.417,0.468,0.431,0.357
2,0.558,0.227,10.4,7.5,3.4,3.5,15.2,116.1,0.54,101.6,0.462,0.666,0.417,0.468,0.431,0.357
2,0.457,0.117,12.2,6.9,3.0,2.8,13.5,116.1,0.54,101.6,0.462,0.666,0.417,0.468,0.431,0.357
2,0.457,0.117,12.2,6.9,2.7,2.2,12.2,116.1,0.54,101.6,0.462,0.666,0.417,0.468,0.431,0.357
2,0.457,0.117,12.2,6.9,3.4,3.5,15.2,116.1,0.54,101.6,0.462,0.666,0.417,0.468,0.431,0.357
0,0.505,0.168,11.3,7.2,3.0,2.8,13.5,116.1,0.54,101.6,0.469,0.711,0.451,0.461,0.439,0.344
0,0.505,0.168,11.3,7.2,2.7,2.2,12.2,116.1,0.54,101.6,0.469,0.711,0.451,0.461,0.439,0.344
0,0.505,0.168,11.3,7.2,3.4,3.5,15.2,116.1,0.54,101.6,0.469,0.711,0.451,0.461,0.439,0.344
0,0.558,0.227,10.4,7.5,3.0,2.8,13.5,116.1,0.54,101.6,0.469,0.711,0.451,0.461,0.439,0.344
0,0.558,0.227,10.4,7.5,2.7,2.2,12.2,116.1,0.54,101.6,0.469,0.711,0.451,0.461,0.439,0.344
0,0.558,0.227,10.4,7.5,3.4,3.5,15.2,116.1,0.54,101.6,0.469,0.711,0.451,0.461,0.439,0.344
0,0.457,0.117,12.2,6.9,3.0,2.8,13.5,116.1,0.54,101.6,0.469,0.711,0.451,0.461,0.439,0.344
0,0.457,0.117,12.2,6.9,2.7,2.2,12.2,116.1,0.54,101.6,0.469,0.711,0.451,0.461,0.439,0.344
0,0.457,0.117,12.2,6.9,3.4,3.5,15.2,116.1,0.54,101.6,0.469,0.711,0.451,0.461,0.439,0.344
0,0.505,0.168,11.3,7.2,3.0,2.8,13.5,116.1,0.54,101.6,0.474,0.716,0.441,0.463,0.388,0.365
0,0.505,0.168,11.3,7.2,2.7,2.2,12.2,116.1,0.54,101.6,0.474,0.716,0.441,0.463,0.388,0.365
0,0.505,0.168,11.3,7.2,3.4,3.5,15.2,116.1,0.54,101.6,0.474,0.716,0.441,0.463,0.388,0.365
0,0.558,0.227,10.4,7.5,3.0,2.8,13.5,116.1,0.54,101.6,0.474,0.716,0.441,0.463,0.388,0.365
0,0.558,0.227,10.4,7.5,2.7,2.2,12.2,116.1,0.54,101.6,0.474,0.716,0.441,0.463,0.388,0.365
0,0.558,0.227,10.4,7.5,3.4,3.5,15.2,116.1,0.54,101.6,0.474,0.716,0.441,0.463,0.388,0.365
0,0.457,0.117,12.2,6.9,3.0,2.8,13.5,116.1,0.54,101.6,0.474,0.716,0.441,0.463,0.388,0.365
0,0.457,0.117,12.2,6.9,2.7,2.2,12.2,116.1,0.54,101.6,0.474,0.716,0.441,0.463,0.388,0.365
0,0.457,0.117,12.2,6.9,3.4,3.5,15.2,116.1,0.54,101.6,0.474,0.716,0.441,0.463,0.388,0.365
5,0.505,0.168,11.3,7.2,3.0,2.8,13.5,116.1,0.54,101.6,0.491,0.682,0.453,0.443,0.368,0.379
5,0.505,0.168,11.3,7.2,2.7,2.2,12.2,116.1,0.54,101.6,0.491,0.682,0.453,0.443,0.368,0.379
5,0.505,0.168,11.3,7.2,3.4,3.5,15.2,116.1,0.54,101.6,0.491,0.682,0.453,0.443,0.368,0.379
5,0.558,0.227,10.4,7.5,3.0,2.8,13.5,116.1,0.54,101.6,0.491,0.682,0.453,0.443,0.368,0.379
5,0.558,0.227,10.4,7.5,2.7,2.2,12.2,116.1,0.54,101.6,0.491,0.682,0.453,0.443,0.368,0.379
5,0.558,0.227,10.4,7.5,3.4,3.5,15.2,116.1,0.54,101.6,0.491,0.682,0.453,0.443,0.368,0.379
5,0.457,0.117,12.2,6.9,3.0,2.8,13.5,116.1,0.54,101.6,0.491,0.682,0.453,0.443,0.368,0.379
5,0.457,0.117,12.2,6.9,2.7,2.2,12.2,116.1,0.54,101.6,0.491,0.682,0.453,0.443,0.368,0.379
5,0.457,0.117,12.2,6.9,3.4,3.5,15.2,116.1,0.54,101.6,0.491,0.682,0.453,0.443,0.368,0.379
0,0.505,0.168,11.3,7.2,3.0,2.8,13.5,116.1,0.54,101.6,0.485,0.717,0.46,0.468,0.451,0.352
0,0.505,0.168,11.3,7.2,2.7,2.2,12.2,116.1,0.54,101.6,0.485,0.717,0.46,0.468,0.451,0.352
0,0.505,0.168,11.3,7.2,3.4,3.5,15.2,116.1,0.54,101.6,0.485,0.717,0.46,0.468,0.451,0.352
0,0.558,0.227,10.4,7.5,3.0,2.8,13.5,116.1,0.54,101.6,0.485,0.717,0.46,0.468,0.451,0.352
0,0.558,0.227,10.4,7.5,2.7,2.2,12.2,116.1,0.54,101.6,0.485,0.717,0.46,0.468,0.451,0.352
0,0.558,0.227,10.4,7.5,3.4,3.5,15.2,116.1,0.54,101.6,0.485,0.717,0.46,0.468,0.451,0.352
0,0.457,0.117,12.2,6.9,3.0,2.8,13.5,116.1,0.54,101.6,0.485,0.717,0.46,0.468,0.451,0.352
0,0.457,0.117,12.2,6.9,2.7,2.2,12.2,116.1,0.54,101.6,0.485,0.717,0.46,0.468,0.451,0.352
0,0.457,0.117,12.2,6.9,3.4,3.5,15.2,116.1,0.54,101.6,0.485,0.717,0.46,0.468,0.451,0.352
4,0.505,0.168,11.3,7.2,3.0,2.8,13.5,116.1,0.54,101.6,0.471,0.699,0.408,0.437,0.374,0.369
4,0.505,0.168,11.3,7.2,2.7,2.2,12.2,116.1,0.54,101.6,0.471,0.699,0.408,0.437,0.374,0.369
4,0.505,0.168,11.3,7.2,3.4,3.5,15.2,116.1,0.54,101.6,0.471,0.699,0.408,0.437,0.374,0.369
4,0.558,0.227,10.4,7.5,3.0,2.8,13.5,116.1,0.54,101.6,0.471,0.699,0.408,0.437,0.374,0.369
4,0.558,0.227,10.4,7.5,2.7,2.2,12.2,116.1,0.54,101.6,0.471,0.699,0.408,0.437,0.374,0.369
4,0.558,0.227,10.4,7.5,3.4,3.5,15.2,116.1,0.54,101.6,0.471,0.699,0.408,0.437,0.374,0.369
4,0.457,0.117,12.2,6.9,3.0,2.8,13.5,116.1,0.54,101.6,0.471,0.699,0.408,0.437,0.374,0.369
4,0.457,0.117,12.2,6.9,2.7,2.2,12.2,116.1,0.54,101.6,0.471,0.699,0.408,0.437,0.374,0.369
4,0.457,0.117,12.2,6.9,3.4,3.5,15.2,116.1,0.54,101.6,0.471,0.699,0.408,0.437,0.374,0.369
0,0.505,0.168,11.3,7.2,3.0,2.8,13.5,116.1,0.54,101.6,0.485,0.717,0.46,0.468,0.451,0.352
0,0.505,0.168,11.3,7.2,2.7,2.2,12.2,116.1,0.54,101.6,0.485,0.717,0.46,0.468,0.451,0.352
0,0.505,0.168,11.3,7.2,3.4,3.5,15.2,116.1,0.54,101.6,0.485,0.717,0.46,0.468,0.451,0.352
0,0.558,0.227,10.4,7.5,3.0,2.8,13.5,116.1,0.54,101.6,0.485,0.717,0.46,0.468,0.451,0.352
0,0.558,0.227,10.4,7.5,2.7,2.2,12.2,116.1,0.54,101.6,0.485,0.717,0.46,0.468,0.451,0.352
0,0.558,0.227,10.4,7.5,3.4,3.5,15.2,116.1,0.54,101.6,0.485,0.717,0.46,0.468,0.451,0.352
0,0.457,0.117,12.2,6.9,3.0,2.8,13.5,116.1,0.54,101.6,0.485,0.717,0.46,0.468,0.451,0.352
0,0.457,0.117,12.2,6.9,2.7,2.2,12.2,116.1,0.54,101.6,0.485,0.717,0.46,0.468,0.451,0.352
0,0.457,0.117,12.2,6.9,3.4,3.5,15.2,116.1,0.54,101.6,0.485,0.717,0.46,0.468,0.451,0.352
5,0.505,0.168,11.3,7.2,3.0,2.8,13.5,116.1,0.54,101.6,0.469,0.711,0.451,0.461,0.439,0.344
5,0.505,0.168,11.3,7.2,2.7,2.2,12.2,116.1,0.54,101.6,0.469,0.711,0.451,0.461,0.439,0.344
5,0.505,0.168,11.3,7.2,3.4,3.5,15.2,116.1,0.54,101.6,0.469,0.711,0.451,0.461,0.439,0.344
5,0.558,0.227,10.4,7.5,3.0,2.8,13.5,116.1,0.54,101.6,0.469,0.711,0.451,0.461,0.439,0.344
5,0.558,0.227,10.4,7.5,2.7,2.2,12.2,116.1,0.54,101.6,0.469,0.711,0.451,0.461,0.439,0.344
5,0.558,0.227,10.4,7.5,3.4,3.5,15.2,116.1,0.54,101.6,0.469,0.711,0.451,0.461,0.439,0.344
5,0.457,0.117,12.2,6.9,3.0,2.8,13.5,116.1,0.54,101.6,0.469,0.711,0.451,0.461,0.439,0.344
5,0.457,0.117,12.2,6.9,2.7,2.2,12.2,116.1,0.54,101.6,0.469,0.711,0.451,0.461,0.439,0.344
5,0.457,0.117,12.2,6.9,3.4,3.5,15.2,116.1,0.54,101.6,0.469,0.711,0.451,0.461,0.439,0.344
8,0.505,0.168,11.3,7.2,3.0,2.8,13.5,116.1,0.54,101.6,0.478,0.747,0.459,0.443,0.402,0.344
8,0.505,0.168,11.3,7.2,2.7,2.2,12.2,116.1,0.54,101.6,0.478,0.747,0.459,0.443,0.402,0.344
8,0.505,0.168,11.3,7.2,3.4,3.5,15.2,116.1,0.54,101.6,0.478,0.747,0.459,0.443,0.402,0.344
8,0.558,0.227,10.4,7.5,3.0,2.8,13.5,116.1,0.54,101.6,0.478,0.747,0.459,0.443,0.402,0.344
8,0.558,0.227,10.4,7.5,2.7,2.2,12.2,116.1,0.54,101.6,0.478,0.747,0.459,0.443,0.402,0.344
8,0.558,0.227,10.4,7.5,3.4,3.5,15.2,116.1,0.54,101.6,0.478,0.747,0.459,0.443,0.402,0.344
8,0.457,0.117,12.2,6.9,3.0,2.8,13.5,116.1,0.54,101.6,0.478,0.747,0.459,0.443,0.402,0.344
8,0.457,0.117,12.2,6.9,2.7,2.2,12.2,116.1,0.54,101.6,0.478,0.747,0.459,0.443,0.402,0.344
8,0.457,0.117,12.2,6.9,3.4,3.5,15.2,116.1,0.54,101.6,0.478,0.747,0.459,0.443,0.402,0.344
0,0.505,0.168,11.3,7.2,3.0,2.8,13.5,116.1,0.54,101.6,0.474,0.716,0.441,0.463,0.388,0.365
0,0.505,0.168,11.3,7.2,2.7,2.2,12.2,116.1,0.54,101.6,0.474,0.716,0.441,0.463,0.388,0.365
0,0.505,0.168,11.3,7.2,3.4,3.5,15.2,116.1,0.54,101.6,0.474,0.716,0.441,0.463,0.388,0.365
0,0.558,0.227,10.4,7.5,3.0,2.8,13.5,116.1,0.54,101.6,0.474,0.716,0.441,0.463,0.388,0.365
0,0.558,0.227,10.4,7.5,2.7,2.2,12.2,116.1,0.54,101.6,0.474,0.716,0.441,0.463,0.388,0.365
0,0.558,0.227,10.4,7.5,3.4,3.5,15.2,116.1,0.54,101.6,0.474,0.716,0.441,0.463,0.388,0.365
0,0.457,0.117,12.2,6.9,3.0,2.8,13.5,116.1,0.54,101.6,0.474,0.716,0.441,0.463,0.388,0.365
0,0.457,0.117,12.2,6.9,2.7,2.2,12.2,116.1,0.54,101.6,0.474,0.716,0.441,0.463,0.388,0.365
0,0.457,0.117,12.2,6.9,3.4,3.5,15.2,116.1,0.54,101.6,0.474,0.716,0.441,0.463,0.388,0.365
0,0.505,0.168,11.3,7.2,3.0,2.8,13.5,116.1,0.54,101.6,0.478,0.747,0.459,0.443,0.402,0.344
0,0.505,0.168,11.3,7.2,2.7,2.2,12.2,116.1,0.54,101.6,0.478,0.747,0.459,0.443,0.402,0.344
0,0.505,0.168,11.3,7.2,3.4,3.5,15.2,116.1,0.54,101.6,0.478,0.747,0.459,0.443,0.402,0.344
0,0.558,0.227,10.4,7.5,3.0,2.8,13.5,116.1,0.54,101.6,0.478,0.747,0.459,0.443,0.402,0.344
0,0.558,0.227,10.4,7.5,2.7,2.2,12.2,116.1,0.54,101.6,0.478,0.747,0.459,0.443,0.402,0.344
0,0.558,0.227,10.4,7.5,3.4,3.5,15.2,116.1,0.54,101.6,0.478,0.747,0.459,0.443,0.402,0.344
0,0.457,0.117,12.2,6.9,3.0,2.8,13.5,116.1,0.54,101.6,0.478,0.747,0.459,0.443,0.402,0.344
0,0.457,0.117,12.2,6.9,2.7,2.2,12.2,116.1,0.54,101.6,0.478,0.747,0.459,0.443,0.402,0.344
0,0.457,0.117,12.2,6.9,3.4,3.5,15.2,116.1,0.54,101.6,0.478,0.747,0.459,0.443,0.402,0.344
1,0.505,0.168,11.3,7.2,3.0,2.8,13.5,116.1,0.54,101.6,0.456,0.691,0.415,0.452,0.389,0.354
1,0.505,0.168,11.3,7.2,2.7,2.2,12.2,116.1,0.54,101.6,0.456,0.691,0.415,0.452,0.389,0.354
1,0.505,0.168,11.3,7.2,3.4,3.5,15.2,116.1,0.54,101.6,0.456,0.691,0.415,0.452,0.389,0.354
1,0.558,0.227,10.4,7.5,3.0,2.8,13.5,116.1,0.54,101.6,0.456,0.691,0.415,0.452,0.389,0.354
1,0.558,0.227,10.4,7.5,2.7,2.2,12.2,116.1,0.54,101.6,0.456,0.691,0.415,0.452,0.389,0.354
1,0.558,0.227,10.4,7.5,3.4,3.5,15.2,116.1,0.54,101.6,0.456,0.691,0.415,0.452,0.389,0.354
1,0.457,0.117,12.2,6.9,3.0,2.8,13.5,116.1,0.54,101.6,0.456,0.691,0.415,0.452,0.389,0.354
1,0.457,0.117,12.2,6.9,2.7,2.2,12.2,116.1,0.54,101.6,0.456,0.691,0.415,0.452,0.389,0.354
1,0.457,0.117,12.2,6.9,3.4,3.5,15.2,116.1,0.54,101.6,0.456,0.691,0.415,0.452,0.389,0.354
0,0.505,0.168,11.3,7.2,3.0,2.8,13.5,116.1,0.54,101.6,0.473,0.717,0.459,0.442,0.387,0.366
0,0.505,0.168,11.3,7.2,2.7,2.2,12.2,116.1,0.54,101.6,0.473,0.717,0.459,0.442,0.387,0.366
0,0.505,0.168,11.3,7.2,3.4,3.5,15.2,116.1,0.54,101.6,0.473,0.717,0.459,0.442,0.387,0.366
0,0.558,0.227,10.4,7.5,3.0,2.8,13.5,116.1,0.54,101.6,0.473,0.717,0.459,0.442,0.387,0.366
0,0.558,0.227,10.4,7.5,2.7,2.2,12.2,116.1,0.54,101.6,0.473,0.717,0.459,0.442,0.387,0.366
0,0.558,0.227,10.4,7.5,3.4,3.5,15.2,116.1,0.54,101.6,0.473,0.717,0.459,0.442,0.387,0.366
0,0.457,0.117,12.2,6.9,3.0,2.8,13.5,116.1,0.54,101.6,0.473,0.717,0.459,0.442,0.387,0.366
0,0.457,0.117,12.2,6.9,2.7,2.2,12.2,116.1,0.54,101.6,0.473,0.717,0.459,0.442,0.387,0.366
0,0.457,0.117,12.2,6.9,3.4,3.5,15.2,116.1,0.54,101.6,0.473,0.717,0.459,0.442,0.387,0.366
7,0.505,0.168,11.3,7.2,3.0,2.8,13.5,116.1,0.54,101.6,0.463,0.693,0.468,0.44,0.467,0.345
7,0.505,0.168,11.3,7.2,2.7,2.2,12.2,116.1,0.54,101.6,0.463,0.693,0.468,0.44,0.467,0.345
7,0.505,0.168,11.3,7.2,3.4,3.5,15.2,116.1,0.54,101.6,0.463,0.693,0.468,0.44,0.467,0.345
7,0.558,0.227,10.4,7.5,3.0,2.8,13.5,116.1,0.54,101.6,0.463,0.693,0.468,0.44,0.467,0.345
7,0.558,0.227,10.4,7.5,2.7,2.2,12.2,116.1,0.54,101.6,0.463,0.693,0.468,0.44,0.467,0.345
7,0.558,0.227,10.4,7.5,3.4,3.5,15.2,116.1,0.54,101.6,0.463,0.693,0.468,0.44,0.467,0.345
7,0.457,0.117,12.2,6.9,3.0,2.8,13.5,116.1,0.54,101.6,0.463,0.693,0.468,0.44,0.467,0.345
7,0.457,0.117,12.2,6.9,2.7,2.2,12.2,116.1,0.54,101.6,0.463,0.693,0.468,0.44,0.467,0.345
7,0.457,0.117,12.2,6.9,3.4,3.5,15.2,116.1,0.54,101.6,0.463,0.693,0.468,0.44,0.467,0.345
0,0.505,0.168,11.3,7.2,3.0,2.8,13.5,116.1,0.54,101.6,0.482,0.729,0.502,0.452,0.385,0.367
0,0.505,0.168,11.3,7.2,2.7,2.2,12.2,116.1,0.54,101.6,0.482,0.729,0.502,0.452,0.385,0.367
0,0.505,0.168,11.3,7.2,3.4,3.5,15.2,116.1,0.54,101.6,0.482,0.729,0.502,0.452,0.385,0.367
0,0.558,0.227,10.4,7.5,3.0,2.8,13.5,116.1,0.54,101.6,0.482,0.729,0.502,0.452,0.385,0.367
0,0.558,0.227,10.4,7.5,2.7,2.2,12.2,116.1,0.54,101.6,0.482,0.729,0.502,0.452,0.385,0.367
0,0.558,0.227,10.4,7.5,3.4,3.5,15.2,116.1,0.54,101.6,0.482,0.729,0.502,0.452,0.385,0.367
0,0.457,0.117,12.2,6.9,3.0,2.8,13.5,116.1,0.54,101.6,0.482,0.729,0.502,0.452,0.385,0.367
0,0.457,0.117,12.2,6.9,2.7,2.2,12.2,116.1,0.54,101.6,0.482,0.729,0.502,0.452,0.385,0.367
0,0.457,0.117,12.2,6.9,3.4,3.5,15.2,116.1,0.54,101.6,0.482,0.729,0.502,0.452,0.385,0.367
0,0.505,0.168,11.3,7.2,3.0,2.8,13.5,116.1,0.54,101.6,0.486,0.689,0.445,0.458,0.446,0.356
0,0.505,0.168,11.3,7.2,2.7,2.2,12.2,116.1,0.54,101.6,0.486,0.689,0.445,0.458,0.446,0.356
0,0.505,0.168,11.3,7.2,3.4,3.5,15.2,116.1,0.54,101.6,0.486,0.689,0.445,0.458,0.446,0.356
0,0.558,0.227,10.4,7.5,3.0,2.8,13.5,116.1,0.54,101.6,0.486,0.689,0.445,0.458,0.446,0.356
0,0.558,0.227,10.4,7.5,2.7,2.2,12.2,116.1,0.54,101.6,0.486,0.689,0.445,0.458,0.446,0.356
0,0.558,0.227,10.4,7.5,3.4,3.5,15.2,116.1,0.54,101.6,0.486,0.689,0.445,0.458,0.446,0.356
0,0.457,0.117,12.2,6.9,3.0,2.8,13.5,116.1,0.54,101.6,0.486,0.689,0.445,0.458,0.446,0.356
0,0.457,0.117,12.2,6.9,2.7,2.2,12.2,116.1,0.54,101.6,0.486,0.689,0.445,0.458,0.446,0.356
0,0.457,0.117,12.2,6.9,3.4,3.5,15.2,116.1,0.54,101.6,0.486,0.689,0.445,0.458,0.446,0.356
2,0.505,0.168,11.3,7.2,3.0,2.8,13.5,116.1,0.54,101.6,0.453,0.651,0.421,0.398,0.421,0.355
2,0.505,0.168,11.3,7.2,2.7,2.2,12.2,116.1,0.54,101.6,0.453,0.651,0.421,0.398,0.421,0.355
2,0.505,0.168,11.3,7.2,3.4,3.5,15.2,116.1,0.54,101.6,0.453,0.651,0.421,0.398,0.421,0.355
2,0.558,0.227,10.4,7.5,3.0,2.8,13.5,116.1,0.54,101.6,0.453,0.651,0.421,0.398,0.421,0.355
2,0.558,0.227,10.4,7.5,2.7,2.2,12.2,116.1,0.54,101.6,0.453,0.651,0.421,0.398,0.421,0.355
2,0.558,0.227,10.4,7.5,3.4,3.5,15.2,116.1,0.54,101.6,0.453,0.651,0.421,0.398,0.421,0.355
