final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
30,0.575,0.325,32.3,19.7,25.9,19.7,35.1,115.6,0.515,97.1,0.47,0.712,0.435,0.484,0.391,0.356
30,0.575,0.325,32.3,19.7,25.9,19.7,35.1,115.6,0.515,97.1,0.49,0.716,0.477,0.453,0.481,0.37
29,0.575,0.325,32.3,19.7,25.9,19.7,35.1,115.6,0.515,97.1,0.462,0.686,0.416,0.415,0.391,0.355
32,0.575,0.325,32.3,19.7,25.9,19.7,35.1,115.6,0.515,97.1,0.491,0.732,0.489,0.458,0.406,0.351
5,0.575,0.325,32.3,19.7,25.9,19.7,35.1,115.6,0.515,97.1,0.468,0.707,0.449,0.436,0.407,0.363
21,0.575,0.325,32.3,19.7,25.9,19.7,35.1,115.6,0.515,97.1,0.463,0.682,0.478,0.464,0.401,0.348
20,0.575,0.325,32.3,19.7,25.9,19.7,35.1,115.6,0.515,97.1,0.49,0.716,0.477,0.453,0.481,0.37
31,0.575,0.325,32.3,19.7,25.9,19.7,35.1,115.6,0.515,97.1,0.464,0.686,0.421,0.428,0.381,0.364
26,0.575,0.325,32.3,19.7,25.9,19.7,35.1,115.6,0.515,97.1,0.463,0.66,0.426,0.425,0.38,0.371
29,0.575,0.325,32.3,19.7,25.9,19.7,35.1,115.6,0.515,97.1,0.487,0.712,0.478,0.466,0.392,0.395
16,0.575,0.325,32.3,19.7,25.9,19.7,35.1,115.6,0.515,97.1,0.462,0.686,0.416,0.415,0.391,0.355
23,0.575,0.325,32.3,19.7,25.9,19.7,35.1,115.6,0.515,97.1,0.491,0.716,0.471,0.42,0.422,0.376
44,0.575,0.325,32.3,19.7,25.9,19.7,35.1,115.6,0.515,97.1,0.463,0.682,0.478,0.464,0.401,0.348
31,0.575,0.325,32.3,19.7,25.9,19.7,35.1,115.6,0.515,97.1,0.463,0.682,0.478,0.464,0.401,0.348
37,0.575,0.325,32.3,19.7,25.9,19.7,35.1,115.6,0.515,97.1,0.464,0.714,0.454,0.422,0.397,0.349
25,0.575,0.325,32.3,19.7,25.9,19.7,35.1,115.6,0.515,97.1,0.474,0.667,0.418,0.456,0.425,0.378
34,0.575,0.325,32.3,19.7,25.9,19.7,35.1,115.6,0.515,97.1,0.48,0.699,0.485,0.43,0.368,0.387
33,0.575,0.325,32.3,19.7,25.9,19.7,35.1,115.6,0.515,97.1,0.48,0.699,0.485,0.43,0.368,0.387
27,0.575,0.325,32.3,19.7,25.9,19.7,35.1,115.6,0.515,97.1,0.466,0.716,0.507,0.42,0.404,0.359
19,0.575,0.325,32.3,19.7,25.9,19.7,35.1,115.6,0.515,97.1,0.474,0.701,0.464,0.472,0.394,0.358
20,0.575,0.325,32.3,19.7,25.9,19.7,35.1,115.6,0.515,97.1,0.462,0.686,0.416,0.415,0.391,0.355
19,0.575,0.325,32.3,19.7,25.9,19.7,35.1,115.6,0.515,97.1,0.462,0.686,0.416,0.415,0.391,0.355
31,0.575,0.325,32.3,19.7,25.9,19.7,35.1,115.6,0.515,97.1,0.487,0.712,0.478,0.466,0.392,0.395
17,0.575,0.325,32.3,19.7,25.9,19.7,35.1,115.6,0.515,97.1,0.474,0.667,0.418,0.456,0.425,0.378
32,0.575,0.325,32.3,19.7,25.9,19.7,35.1,115.6,0.515,97.1,0.475,0.736,0.421,0.46,0.381,0.368
34,0.575,0.325,32.3,19.7,25.9,19.7,35.1,115.6,0.515,97.1,0.496,0.753,0.452,0.464,0.454,0.362
29,0.575,0.325,32.3,19.7,25.9,19.7,35.1,115.6,0.515,97.1,0.473,0.682,0.45,0.425,0.431,0.37
12,0.575,0.325,32.3,19.7,25.9,19.7,35.1,115.6,0.515,97.1,0.466,0.716,0.507,0.42,0.404,0.359
18,0.575,0.325,32.3,19.7,25.9,19.7,35.1,115.6,0.515,97.1,0.468,0.707,0.449,0.436,0.407,0.363
19,0.575,0.325,32.3,19.7,25.9,19.7,35.1,115.6,0.515,97.1,0.474,0.724,0.444,0.433,0.431,0.376
27,0.575,0.325,32.3,19.7,25.9,19.7,35.1,115.6,0.515,97.1,0.48,0.699,0.485,0.43,0.368,0.387
32,0.575,0.325,32.3,19.7,25.9,19.7,35.1,115.6,0.515,97.1,0.468,0.712,0.406,0.411,0.404,0.354
32,0.575,0.325,32.3,19.7,25.9,19.7,35.1,115.6,0.515,97.1,0.47,0.71,0.398,0.434,0.424,0.372
32,0.575,0.325,32.3,19.7,25.9,19.7,35.1,115.6,0.515,97.1,0.495,0.694,0.46,0.452,0.43,0.384
28,0.575,0.325,32.3,19.7,25.9,19.7,35.1,115.6,0.515,97.1,0.453,0.676,0.438,0.469,0.407,0.352
8,0.575,0.325,32.3,19.7,25.9,19.7,35.1,115.6,0.515,97.1,0.473,0.682,0.45,0.425,0.431,0.37
13,0.575,0.325,32.3,19.7,25.9,19.7,35.1,115.6,0.515,97.1,0.466,0.716,0.507,0.42,0.404,0.359
17,0.575,0.325,32.3,19.7,25.9,19.7,35.1,115.6,0.515,97.1,0.48,0.699,0.485,0.43,0.368,0.387
31,0.575,0.325,32.3,19.7,25.9,19.7,35.1,115.6,0.515,97.1,0.464,0.686,0.421,0.428,0.381,0.364
11,0.575,0.325,32.3,19.7,25.9,19.7,35.1,115.6,0.515,97.1,0.474,0.724,0.444,0.433,0.431,0.376
37,0.575,0.325,32.3,19.7,25.9,19.7,35.1,115.6,0.515,97.1,0.491,0.732,0.489,0.458,0.406,0.351
23,0.575,0.325,32.3,19.7,25.9,19.7,35.1,115.6,0.515,97.1,0.47,0.71,0.398,0.434,0.424,0.372
33,0.575,0.325,32.3,19.7,25.9,19.7,35.1,115.6,0.515,97.1,0.487,0.685,0.467,0.441,0.423,0.373
26,0.575,0.325,32.3,19.7,25.9,19.7,35.1,115.6,0.515,97.1,0.464,0.714,0.454,0.422,0.397,0.349
