final_PTS,TS%,FTr,USG%,PER,avg_PTS,FGA,MP,ORtg,eFG%_2,Pace,Opponent_FG%,Range_0-3_Made,Range_3-10_Made,Range_10-16_Made,Range_16-3P_Made,3P_Made
22,0.54,0.107,23.3,17.7,18.0,15.9,34.3,114.9,0.556,96.3,0.47,0.712,0.435,0.484,0.391,0.356
13,0.54,0.107,23.3,17.7,18.0,15.9,34.3,114.9,0.556,96.3,0.47,0.71,0.398,0.434,0.424,0.372
16,0.54,0.107,23.3,17.7,18.0,15.9,34.3,114.9,0.556,96.3,0.496,0.753,0.452,0.464,0.454,0.362
23,0.54,0.107,23.3,17.7,18.0,15.9,34.3,114.9,0.556,96.3,0.491,0.716,0.471,0.42,0.422,0.376
12,0.54,0.107,23.3,17.7,18.0,15.9,34.3,114.9,0.556,96.3,0.49,0.716,0.477,0.453,0.481,0.37
13,0.54,0.107,23.3,17.7,18.0,15.9,34.3,114.9,0.556,96.3,0.464,0.686,0.421,0.428,0.381,0.364
12,0.54,0.107,23.3,17.7,18.0,15.9,34.3,114.9,0.556,96.3,0.496,0.688,0.482,0.495,0.411,0.365
25,0.54,0.107,23.3,17.7,18.0,15.9,34.3,114.9,0.556,96.3,0.462,0.686,0.416,0.415,0.391,0.355
18,0.54,0.107,23.3,17.7,18.0,15.9,34.3,114.9,0.556,96.3,0.463,0.682,0.478,0.464,0.401,0.348
20,0.54,0.107,23.3,17.7,18.0,15.9,34.3,114.9,0.556,96.3,0.48,0.699,0.485,0.43,0.368,0.387
21,0.54,0.107,23.3,17.7,18.0,15.9,34.3,114.9,0.556,96.3,0.45,0.673,0.404,0.447,0.371,0.354
13,0.54,0.107,23.3,17.7,18.0,15.9,34.3,114.9,0.556,96.3,0.467,0.705,0.493,0.463,0.407,0.353
21,0.54,0.107,23.3,17.7,18.0,15.9,34.3,114.9,0.556,96.3,0.468,0.712,0.406,0.411,0.404,0.354
8,0.54,0.107,23.3,17.7,18.0,15.9,34.3,114.9,0.556,96.3,0.468,0.712,0.406,0.411,0.404,0.354
23,0.54,0.107,23.3,17.7,18.0,15.9,34.3,114.9,0.556,96.3,0.491,0.732,0.489,0.458,0.406,0.351
4,0.54,0.107,23.3,17.7,18.0,15.9,34.3,114.9,0.556,96.3,0.474,0.724,0.444,0.433,0.431,0.376
20,0.54,0.107,23.3,17.7,18.0,15.9,34.3,114.9,0.556,96.3,0.468,0.707,0.449,0.436,0.407,0.363
29,0.54,0.107,23.3,17.7,18.0,15.9,34.3,114.9,0.556,96.3,0.474,0.724,0.444,0.433,0.431,0.376
21,0.54,0.107,23.3,17.7,18.0,15.9,34.3,114.9,0.556,96.3,0.473,0.682,0.45,0.425,0.431,0.37
13,0.54,0.107,23.3,17.7,18.0,15.9,34.3,114.9,0.556,96.3,0.474,0.667,0.418,0.456,0.425,0.378
19,0.54,0.107,23.3,17.7,18.0,15.9,34.3,114.9,0.556,96.3,0.495,0.694,0.46,0.452,0.43,0.384
21,0.54,0.107,23.3,17.7,18.0,15.9,34.3,114.9,0.556,96.3,0.47,0.712,0.435,0.484,0.391,0.356
20,0.54,0.107,23.3,17.7,18.0,15.9,34.3,114.9,0.556,96.3,0.475,0.736,0.421,0.46,0.381,0.368
8,0.54,0.107,23.3,17.7,18.0,15.9,34.3,114.9,0.556,96.3,0.49,0.716,0.477,0.453,0.481,0.37
